sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
175,349,-0.66381836,-0.1616211,0.76953125,987.7252,974.53436,5.3435116,0.10595703,-0.21508789,0.9602051,999.9084,997.2977,994.64124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,351,-0.6723633,-0.15356445,0.7145996,987.75574,974.5496,5.40458,0.049804688,-0.23950195,0.95874023,1000.0305,997.23663,994.64124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,353,-0.6760254,-0.122558594,0.77075195,987.75574,974.4275,5.3587785,0.10546875,-0.2770996,0.9736328,1000.0458,997.2214,994.7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,355,-0.6940918,-0.14575195,0.8059082,987.771,974.44275,5.4351144,0.07080078,-0.14770508,0.94799805,1000.01526,997.2519,994.8397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,357,-0.6257324,-0.1940918,0.7541504,987.69464,974.53436,5.40458,0.056152344,-0.2006836,0.9777832,1000.0458,997.2061,994.9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,359,-0.6916504,-0.1105957,0.75878906,987.69464,974.64124,5.3435116,0.11645508,-0.18945312,0.97631836,1000.12213,997.09924,994.9466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,361,-0.6999512,-0.15551758,0.7531738,987.7099,974.5954,5.40458,0.013183594,-0.26538086,0.99780273,1000.24426,997.0687,994.90076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,363,-0.6660156,-0.140625,0.7548828,987.64886,974.47327,5.4503818,0.10595703,-0.22216797,0.9621582,1000.2595,997.03815,994.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,365,-0.6542969,-0.11767578,0.71850586,987.603,974.47327,5.3587785,0.064453125,-0.2397461,0.97998047,1000.1832,997.0229,994.87024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,367,-0.67626953,-0.1418457,0.76538086,987.55725,974.458,5.3435116,0.06982422,-0.2006836,0.98291016,1000.16797,996.9924,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,369,-0.6418457,-0.18432617,0.7709961,987.5725,974.3664,5.389313,0.072753906,-0.2355957,0.99072266,1000.1985,996.9313,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
